자치구,인구밀도
종로구,7605.69
종로구,1773.15
종로구,4200.88
종로구,2013.3
종로구,22366.67
종로구,28554.29
종로구,7527.78
종로구,3702.13
종로구,9695
종로구,9783.33
종로구,17364.52
종로구,33830.77
종로구,28721.74
종로구,26334.78
종로구,30025.71
종로구,4598.44
종로구,17314.29
중구,3766.32
중구,6216.67
중구,3674.75
중구,4224.56
중구,3916.18
중구,9029.73
중구,3186.67
중구,26956.41
중구,40784.85
중구,25704.17
중구,16521.82
중구,27360.78
중구,34604.17
중구,39561.76
중구,39226.92
용산구,19548.84
용산구,5271.94
용산구,6346.22
용산구,19429.58
용산구,24745.45
용산구,41657.14
용산구,8988.46
용산구,6634.43
용산구,13942.11
용산구,12124.42
용산구,4806.43
용산구,19802.82
용산구,22036.67
용산구,30125.42
용산구,7891.72
용산구,7326.91
성동구,40702.44
성동구,21624.76
성동구,12801.82
성동구,23722.03
성동구,55114.29
성동구,26491.23
성동구,32906.52
성동구,16938.1
성동구,8328.43
성동구,13844.94
성동구,13432.48
성동구,10213.59
성동구,13952
성동구,5433.33
성동구,37365.28
성동구,35035.94
성동구,13321.13
광진구,23346.55
광진구,29086.49
광진구,25262.9
광진구,38792.73
광진구,26961.67
광진구,12243.53
광진구,10510
광진구,42944.64
광진구,19117.27
광진구,27882.35
광진구,14377.41
광진구,39840.35
광진구,14436.31
광진구,23215
광진구,18327.59
동대문구,17810.53
동대문구,25934.92
동대문구,23491.43
동대문구,15911.67
동대문구,22445.34
동대문구,22444.07
동대문구,24554.62
동대문구,21661.63
동대문구,33005.88
동대문구,30941.6
동대문구,29986.24
동대문구,20544.23
동대문구,29250.72
동대문구,35222.22
중랑구,31436.36
중랑구,21547.13
중랑구,21194.29
중랑구,18165
중랑구,26947.73
중랑구,31710.77
중랑구,30145.31
중랑구,24679.21
중랑구,28620
중랑구,27797.01
중랑구,17720.65
중랑구,14923.83
중랑구,21672.04
중랑구,40304.76
중랑구,15102.45
중랑구,11849.83
성북구,29538.78
성북구,49285.42
성북구,12870.68
